pseudo	target_pseudo	common_tweet	common_ngram
Alicesweatdream	RegisFaguelin	10	120
Alicesweatdream	reseau_internat	10	120
Alicesweatdream	RhoddeNathalie	10	120
Alicesweatdream	RosaU07994539	10	120
Alicesweatdream	rotciv1003	10	120
Alicesweatdream	steffvenere	10	110
Alicesweatdream	sunuker_com	10	120
Alicesweatdream	Thaghost33	10	120
Alicesweatdream	theoditalia	10	120
Alicesweatdream	TiensTiens8	10	120
Alicesweatdream	trinacrie	10	120
Alicesweatdream	Uston76	10	120
Alicesweatdream	veroni	10	120
Alicesweatdream	VeroniqueBlan20	10	120
Alicesweatdream	vivavalval	10	120
Alicesweatdream	yannick_stopyra	10	120
Alicesweatdream	YvesPDB	10	120
alixmarielle	Alicesweatdream	10	110
AMaddy2	Alicesweatdream	10	120
andreaventura01	Alicesweatdream	10	120
AnnePFLEGER	Alicesweatdream	10	120
ArianeWalter	Alicesweatdream	10	120
aysegul_koker	Alicesweatdream	10	120
babibelle33	Alicesweatdream	10	120
badiramour	cherielle100	10	164
badiramour	ivoiremessages	10	144
badiramour	JJKer3	10	118
badiramour	jsp1963	10	129
badiramour	pedromido67	10	118
badiramour	steffvenere	10	118
Barberis888	bmichel7	10	186
Barberis888	IrishCo82996599	10	196
Barberis888	laizet2	10	170
Bassinrebel	Alicesweatdream	10	120
bmichel7	Barberis888	10	186
Bruno_Level	Alicesweatdream	10	120
carcajou76865	Alicesweatdream	10	120
Carojacob2	Alicesweatdream	10	120
carou68	Alicesweatdream	10	120
cherielle100	badiramour	10	164
cherifo62	Alicesweatdream	10	120
chrisfrayt	Alicesweatdream	10	120
conspjustice	FritzHelmut3	10	120
conspjustice	jsp1963	10	143
conspjustice	MARTELCharles13	10	214
DanielleThurel	Alicesweatdream	10	120
DeMolay82619496	Alicesweatdream	10	120
denmoi1	Alicesweatdream	10	120
DespaigneElyane	Alicesweatdream	10	120
DIACONESCOTV	Alicesweatdream	10	120
DialloLexdex12	Alicesweatdream	10	120
didiergildas	Alicesweatdream	10	120
Disciple2Dieu	Alicesweatdream	10	120
djipipi	Alicesweatdream	10	120
DrIsalinares	Alicesweatdream	10	120
DrunkpaMaster	Alicesweatdream	10	120
EcologieRive	Alicesweatdream	10	120
ecureuil1065	Alicesweatdream	10	120
ElisabethFaure1	Alicesweatdream	10	130
ELLETW6	Alicesweatdream	10	120
eustache_luigy	Alicesweatdream	10	120
fbl180	Alicesweatdream	10	120
floscorpion	Alicesweatdream	10	120
Foggy996	Alicesweatdream	10	110
FranceRsistanc1	Alicesweatdream	10	120
FREYERMUTHHube1	Alicesweatdream	10	120
FritzHelmut3	conspjustice	10	120
fulberti_laving	Alicesweatdream	10	120
haltebourg1	Alicesweatdream	10	120
herve_ferrant	Alicesweatdream	10	120
IOANIDIS1	LevyLoiseau	10	164
IOANIDIS1	Rakiko_Hime	10	168
IrishCo82996599	Barberis888	10	196
IrishCo82996599	republiqhein	10	160
ivoiremessages	badiramour	10	144
JacquesBoin	Alicesweatdream	10	120
JahardF	Alicesweatdream	10	120
JANVIERClaude1	Alicesweatdream	10	120
JanvierGeorgia	Alicesweatdream	10	120
JBaht	Alicesweatdream	10	120
jeannick_odier	Alicesweatdream	10	120
jeanpaulalain	Alicesweatdream	10	120
JJKer3	badiramour	10	118
JJKer3	LevyLoiseau	10	147
josEphhello34	Planetes360	10	148
jsp1963	badiramour	10	129
jsp1963	conspjustice	10	143
jsp1963	laizet2	10	228
KabeAzem	Alicesweatdream	10	120
Kamalstar1979	Alicesweatdream	10	120
KESTUDIDOUDOU	Alicesweatdream	10	120
Krieger66362259	Alicesweatdream	10	120
laizet2	Alicesweatdream	10	120
laizet2	Barberis888	10	170
laizet2	jsp1963	10	228
Langoisse4	Alicesweatdream	10	120
lavenircnous	Alicesweatdream	10	120
LevyLoiseau	IOANIDIS1	10	164
LevyLoiseau	JJKer3	10	147
LevyLoiseau	ZayUma	10	191
loindevant	steffvenere	10	126
lucydix_t	Alicesweatdream	10	120
majormedben	Alicesweatdream	10	120
marielenbenede	Alicesweatdream	10	120
MARTELCharles13	Alicesweatdream	10	120
MARTELCharles13	conspjustice	10	214
MERLINCLUBHOUSE	Alicesweatdream	10	120
MMair13	Alicesweatdream	10	120
NazratatReig06	Alicesweatdream	10	120
ouiza8	Alicesweatdream	10	120
Pacharlotte3	Alicesweatdream	10	120
pedromido67	badiramour	10	118
perlenacre2	Alicesweatdream	10	120
PierreAFontaine	Alicesweatdream	10	120
Planetes360	josEphhello34	10	148
Planetes360	tradefutur	10	150
Rakiko_Hime	Alicesweatdream	10	120
Rakiko_Hime	IOANIDIS1	10	168
Rakiko_Hime	tambour2003	10	165
RaldaEsmee	Alicesweatdream	10	120
RegisFaguelin	Alicesweatdream	10	120
republiqhein	IrishCo82996599	10	160
reseau_internat	Alicesweatdream	10	120
RhoddeNathalie	Alicesweatdream	10	120
RosaU07994539	Alicesweatdream	10	120
rotciv1003	Alicesweatdream	10	120
steffvenere	Alicesweatdream	10	110
steffvenere	badiramour	10	118
steffvenere	loindevant	10	126
sunuker_com	Alicesweatdream	10	120
tambour2003	Rakiko_Hime	10	165
Thaghost33	Alicesweatdream	10	120
theoditalia	Alicesweatdream	10	120
TiensTiens8	Alicesweatdream	10	120
tradefutur	Planetes360	10	150
trinacrie	Alicesweatdream	10	120
Uston76	Alicesweatdream	10	120
veroni	Alicesweatdream	10	120
VeroniqueBlan20	Alicesweatdream	10	120
vivavalval	Alicesweatdream	10	120
yannick_stopyra	Alicesweatdream	10	120
YvesPDB	Alicesweatdream	10	120
ZayUma	LevyLoiseau	10	191
andreaventura01	conspjustice	9	137
AubeDigitale	Barberis888	9	132
babibelle33	conspjustice	9	155
babibelle33	thalassa2008	9	175
badiramour	BaufMalou	9	107
badiramour	daventure1	9	143
badiramour	Expansion69	9	111
badiramour	fabiennelabarou	9	117
badiramour	fulberti_laving	9	143
badiramour	Hellam12	9	143
Barberis888	AubeDigitale	9	132
Barberis888	Danygo97	9	123
Barberis888	Kamalstar1979	9	149
Barberis888	NazratatReig06	9	112
Barberis888	Nova153	9	132
Barberis888	oceanguinee	9	123
Barberis888	steffvenere	9	122
BaufMalou	badiramour	9	107
belindageoly	laizet2	9	160
brunornc1	Planetes360	9	135
carcajou76865	laizet2	9	122
carcajou76865	LevyLoiseau	9	129
conspjustice	andreaventura01	9	137
conspjustice	babibelle33	9	155
conspjustice	DrunkpaMaster	9	134
conspjustice	Kamalstar1979	9	155
conspjustice	RhoddeNathalie	9	143
conspjustice	schopges	9	149
conspjustice	sunuker_com	9	130
Danygo97	Barberis888	9	123
daventure1	badiramour	9	143
DrunkpaMaster	conspjustice	9	134
Expansion69	badiramour	9	111
fabiennelabarou	badiramour	9	117
fulberti_laving	badiramour	9	143
Hellam12	badiramour	9	143
jsp1963	LevyLoiseau	9	156
Kamalstar1979	Barberis888	9	149
Kamalstar1979	conspjustice	9	155
Kamalstar1979	reseau_internat	9	176
Kernunnos	Rakiko_Hime	9	145
laizet2	belindageoly	9	160
laizet2	carcajou76865	9	122
LevyLoiseau	carcajou76865	9	129
LevyLoiseau	jsp1963	9	156
marielenbenede	RegisFaguelin	9	254
MARTELCharles13	RegisFaguelin	9	256
NazratatReig06	Barberis888	9	112
NazratatReig06	TDvir	9	99
NazratatReig06	tonnerre2021	9	99
Nova153	Barberis888	9	132
Nova153	Padraig41311678	9	165
oceanguinee	Barberis888	9	123
Padraig41311678	Nova153	9	165
Planetes360	brunornc1	9	135
Rakiko_Hime	Kernunnos	9	145
RegisFaguelin	marielenbenede	9	254
RegisFaguelin	MARTELCharles13	9	256
reseau_internat	Kamalstar1979	9	176
RhoddeNathalie	conspjustice	9	143
schopges	conspjustice	9	149
